time,Open,High,Low,Close,Adj Close,Volume,ticker
2022-05-29 09:00:00+00:00,0.0001452879951102659,0.00014531445049215108,0.0001448338880436495,0.0001448933471692726,0.0001448933471692726,0,UNI-USD
2022-05-29 10:00:00+00:00,0.00014491019828710705,0.0001457728649256751,0.00014491019828710705,0.00014561887655872852,0.00014561887655872852,1,UNI-USD
2022-05-29 11:00:00+00:00,0.00014570512576028705,0.00014599080896005034,0.0001455846504541114,0.00014597301196772605,0.00014597301196772605,0,UNI-USD
2022-05-29 12:00:00+00:00,0.00014601003204006702,0.00014698912855237722,0.0001459397899452597,0.0001468377886340022,0.0001468377886340022,0,UNI-USD
2022-05-29 13:00:00+00:00,0.0001468756381655112,0.00014700309839099646,0.00014656780695077032,0.00014657298743259162,0.00014657298743259162,0,UNI-USD
2022-05-29 14:00:00+00:00,0.0001466332614654675,0.0001467089168727398,0.0001465045934310183,0.00014655161066912115,0.00014655161066912115,0,UNI-USD
2022-05-29 15:00:00+00:00,0.00014642009045928717,0.00014642009045928717,0.00014589555212296546,0.00014613255916628987,0.00014613255916628987,0,UNI-USD
2022-05-29 16:00:00+00:00,0.00014605963951908052,0.00014655185805168003,0.00014605963951908052,0.00014637259300798178,0.00014637259300798178,0,UNI-USD
2022-05-29 17:00:00+00:00,0.0001463994849473238,0.0001465806271880865,0.0001460458879591897,0.0001460460916860029,0.0001460460916860029,0,UNI-USD
2022-05-29 18:00:00+00:00,0.00014608658966608346,0.0001461269857827574,0.00014589648344554007,0.00014589648344554007,0.00014589648344554007,0,UNI-USD
2022-05-29 19:00:00+00:00,0.00014587883197236806,0.00014587883197236806,0.0001454822631785646,0.00014555871894117445,0.00014555871894117445,0,UNI-USD
2022-05-29 20:00:00+00:00,0.00014556935639120638,0.00014579814160242677,0.00014556935639120638,0.0001457330072298646,0.0001457330072298646,0,UNI-USD
2022-05-29 21:00:00+00:00,0.00014581579307559878,0.0001460748608224094,0.00014578038826584816,0.0001460748608224094,0.0001460748608224094,0,UNI-USD
2022-05-29 22:00:00+00:00,0.00014617235865443945,0.0001474900491302833,0.0001459098857594654,0.00014717706653755158,0.00014717706653755158,0,UNI-USD
2022-05-29 23:00:00+00:00,0.00014708208618685603,0.00014732260024175048,0.0001470170682296157,0.00014720232866238803,0.00014720232866238803,0,UNI-USD
2022-05-30 00:00:00+00:00,0.00014721679326612502,0.00014721679326612502,0.00014651786477770656,0.00014653570542577654,0.00014653570542577654,0,UNI-USD
2022-05-30 01:00:00+00:00,0.0001465482055209577,0.00014827119593974203,0.0001465482055209577,0.00014824427489656955,0.00014824427489656955,1,UNI-USD
2022-05-30 02:00:00+00:00,0.00014860766532365233,0.00015105876082088798,0.00014860766532365233,0.00015083431208040565,0.00015083431208040565,1,UNI-USD
2022-05-30 03:00:00+00:00,0.0001509719149908051,0.00015167371020652354,0.0001509719149908051,0.0001515851472504437,0.0001515851472504437,0,UNI-USD
2022-05-30 04:00:00+00:00,0.0001516623015049845,0.00015169233665801585,0.00015120924217626452,0.00015143820201046765,0.00015143820201046765,0,UNI-USD
2022-05-30 05:00:00+00:00,0.00015147948579397053,0.00015198663459159434,0.0001514671603217721,0.00015198663459159434,0.00015198663459159434,1,UNI-USD
2022-05-30 06:00:00+00:00,0.00015212777361739427,0.00015357680968008935,0.00015205547970253974,0.000153378612594679,0.000153378612594679,0,UNI-USD
2022-05-30 07:00:00+00:00,0.00015344128769356757,0.00015344128769356757,0.00015279246144928038,0.00015314901247620583,0.00015314901247620583,0,UNI-USD
2022-05-30 08:00:00+00:00,0.0001530925219412893,0.0001534742914373055,0.00015291996533051133,0.0001534742914373055,0.0001534742914373055,0,UNI-USD
2022-05-30 09:00:00+00:00,0.0001534970651846379,0.00015355592768173665,0.0001529538567410782,0.00015334889758378267,0.00015334889758378267,0,UNI-USD
2022-05-30 10:00:00+00:00,0.00015337833610828966,0.00015352109039667994,0.00015288162103388458,0.00015293598698917776,0.00015293598698917776,0,UNI-USD
